Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,24,MIN,NBA,PF,81,81,3202,7.9,16.6,0.477,0.2,0.7,0.288,7.7,15.8,0.486,4,5.3,0.764,2.5,7.9,10.4,4.5,1.2,1.6,2.6,2.3,20.1
2001-02,25,MIN,NBA,PF,81,81,3175,7.5,15.9,0.47,0.4,1.3,0.319,7.1,14.6,0.484,4.1,5.1,0.801,2.8,8.4,11.1,4.8,1.1,1.4,2.6,2.1,19.4
2002-03,26,MIN,NBA,PF,82,82,3321,8.1,16.1,0.502,0.2,0.8,0.282,7.8,15.3,0.513,4.1,5.4,0.751,2.6,9.3,11.9,5.4,1.2,1.4,2.5,2.2,20.4
2003-04,27,MIN,NBA,PF,82,82,3231,9,17.9,0.499,0.1,0.5,0.256,8.8,17.5,0.506,4.1,5.2,0.791,2.7,10,12.7,4.6,1.3,2,2.4,2.3,22.1
2004-05,28,MIN,NBA,PF,82,82,3121,7.9,15.7,0.502,0.1,0.3,0.24,7.8,15.4,0.507,5.1,6.3,0.811,2.8,9.9,12.8,5.4,1.4,1.3,2.6,2.4,21
2005-06,29,MIN,NBA,PF,76,76,2957,7.6,14.5,0.526,0.1,0.4,0.267,7.5,14.1,0.532,4.8,6,0.81,2.6,9.2,11.8,3.7,1.3,1.3,2.2,2.5,20.2
2006-07,30,MIN,NBA,PF,76,76,2995,7.7,16.1,0.476,0.1,0.7,0.214,7.5,15.4,0.487,5,6,0.835,2.2,9.5,11.7,3.8,1.1,1.5,2.5,2.2,20.5
2007-08,31,BOS,NBA,PF,71,71,2328,8.3,15.3,0.539,0,0.2,0,8.3,15.1,0.545,4.2,5.2,0.801,2.1,8,10.1,3.8,1.5,1.4,2.1,2.5,20.7
2008-09,32,BOS,NBA,PF,57,57,1772,8,15,0.531,0,0.2,0.25,7.9,14.9,0.534,2.3,2.7,0.841,1.6,8.3,9.9,2.9,1.3,1.4,1.8,2.6,18.3
2009-10,33,BOS,NBA,PF,69,69,2060,7,13.5,0.521,0,0.1,0.2,7,13.4,0.523,3.2,3.9,0.837,1.4,7.5,8.8,3.2,1.2,1,1.8,3,17.3
